Exchange Date,Close,Net,%Chg,Open,Low,High,O-C,H-L
26-Oct-2009,"1,066.95",-12.65,-1.17%,"1,080.36","1,065.23","1,091.75",-13.41,26.52
23-Oct-2009,"1,079.60",-13.31,-1.22%,"1,095.62","1,075.49","1,095.83",-16.02,20.34
22-Oct-2009,"1,092.91",+11.51,+1.06%,"1,080.96","1,074.31","1,095.21",11.95,20.90
21-Oct-2009,"1,081.40",-9.66,-0.89%,"1,090.36","1,080.77","1,101.36",-8.96,20.59
20-Oct-2009,"1,091.06",-6.85,-0.62%,"1,098.64","1,086.16","1,098.64",-7.58,12.48
19-Oct-2009,"1,097.91",+10.23,+0.94%,"1,088.22","1,086.48","1,100.17",9.69,13.69
16-Oct-2009,"1,087.68",-8.88,-0.81%,"1,094.67","1,081.53","1,094.67",-6.99,13.14
15-Oct-2009,"1,096.56",+4.54,+0.42%,"1,090.36","1,086.41","1,096.56",6.20,10.15
14-Oct-2009,"1,092.02",+18.83,+1.75%,"1,078.68","1,078.68","1,093.17",13.34,14.49
13-Oct-2009,"1,073.19",-3.00,-0.28%,"1,074.96","1,066.71","1,075.30",-1.77,8.59
12-Oct-2009,"1,076.19",+4.70,+0.44%,"1,071.63","1,071.63","1,079.46",4.56,7.83
09-Oct-2009,"1,071.49",+6.01,+0.56%,"1,065.28","1,063.00","1,071.51",6.21,8.51
08-Oct-2009,"1,065.48",+7.90,+0.75%,"1,060.03","1,060.03","1,070.67",5.45,10.64
07-Oct-2009,"1,057.58",+2.86,+0.27%,"1,053.65","1,050.10","1,058.02",3.93,7.92
06-Oct-2009,"1,054.72",+14.26,+1.37%,"1,042.02","1,042.02","1,060.55",12.70,18.53
05-Oct-2009,"1,040.46",+15.25,+1.49%,"1,026.87","1,025.92","1,042.58",13.59,16.66
02-Oct-2009,"1,025.21",-4.64,-0.45%,"1,029.71","1,019.95","1,030.60",-4.50,10.65
01-Oct-2009,"1,029.85",-27.23,-2.58%,"1,054.91","1,029.45","1,054.91",-25.06,25.46
30-Sep-2009,"1,057.08",-3.53,-0.33%,"1,061.02","1,046.47","1,063.40",-3.94,16.93
29-Sep-2009,"1,060.61",-2.37,-0.22%,"1,063.69","1,057.83","1,069.62",-3.08,11.79
28-Sep-2009,"1,062.98",+18.60,+1.78%,"1,045.38","1,045.38","1,065.13",17.60,19.75
25-Sep-2009,"1,044.38",-6.40,-0.61%,"1,049.48","1,041.17","1,053.47",-5.10,12.30
24-Sep-2009,"1,050.78",-10.09,-0.95%,"1,062.56","1,045.85","1,066.29",-11.78,20.44
23-Sep-2009,"1,060.87",-10.79,-1.01%,"1,072.69","1,060.39","1,080.15",-11.82,19.76
22-Sep-2009,"1,071.66",+7.00,+0.66%,"1,066.35","1,066.35","1,073.81",5.31,7.46
21-Sep-2009,"1,064.66",-3.64,-0.34%,"1,067.14","1,057.46","1,067.28",-2.48,9.82
18-Sep-2009,"1,068.30",+2.81,+0.26%,"1,066.60","1,064.27","1,071.52",1.70,7.25
17-Sep-2009,"1,065.49",-3.27,-0.31%,"1,067.87","1,061.20","1,074.77",-2.38,13.57
16-Sep-2009,"1,068.76",+16.13,+1.53%,"1,053.99","1,052.87","1,068.76",14.77,15.89
15-Sep-2009,"1,052.63",+3.29,+0.31%,"1,049.03","1,043.42","1,056.04",3.60,12.62
14-Sep-2009,"1,049.34",+6.61,+0.63%,"1,040.15","1,035.00","1,049.74",9.19,14.74
11-Sep-2009,"1,042.73",-1.41,-0.14%,"1,043.92","1,038.40","1,048.18",-1.19,9.78
10-Sep-2009,"1,044.14",+10.77,+1.04%,"1,032.99","1,028.04","1,044.14",11.15,16.10
09-Sep-2009,"1,033.37",+7.98,+0.78%,"1,025.36","1,023.97","1,036.34",8.01,12.37
08-Sep-2009,"1,025.39",+8.99,+0.88%,"1,018.67","1,018.67","1,026.07",6.72,7.40
04-Sep-2009,"1,016.40",+13.16,+1.31%,"1,003.84","1,001.65","1,016.48",12.56,14.83
03-Sep-2009,"1,003.24",+8.49,+0.85%,996.12,992.25,"1,003.43",7.12,11.18
02-Sep-2009,994.75,-3.29,-0.33%,996.07,991.97,"1,000.34",-1.32,8.37
01-Sep-2009,998.04,-22.58,-2.21%,"1,019.52",996.28,"1,028.45",-21.48,32.17
31-Aug-2009,"1,020.62",-8.31,-0.81%,"1,025.21","1,014.62","1,025.21",-4.59,10.59
28-Aug-2009,"1,028.93",-2.05,-0.20%,"1,031.62","1,023.13","1,039.47",-2.69,16.34
27-Aug-2009,"1,030.98",+2.86,+0.28%,"1,027.81","1,016.20","1,033.33",3.17,17.13
26-Aug-2009,"1,028.12",+0.12,+0.01%,"1,027.35","1,021.57","1,032.47",0.77,10.90
25-Aug-2009,"1,028.00",+2.43,+0.24%,"1,026.63","1,026.21","1,037.75",1.37,11.54
24-Aug-2009,"1,025.57",-0.56,-0.05%,"1,026.59","1,022.48","1,035.82",-1.02,13.34
21-Aug-2009,"1,026.13",+18.76,+1.86%,"1,009.06","1,009.06","1,027.59",17.07,18.53
20-Aug-2009,"1,007.37",+10.91,+1.09%,996.41,996.39,"1,008.92",10.96,12.53
