"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2005","1,651.90","1,653.65","1,657.53","1,648.26","-","-0.09%"
"Nov 11, 2005","1,653.36","1,653.41","1,659.72","1,651.09","-","0.15%"
"Nov 10, 2005","1,650.93","1,629.56","1,651.05","1,620.74","-","1.27%"
"Nov 09, 2005","1,630.21","1,627.62","1,636.36","1,624.55","-","0.11%"
"Nov 08, 2005","1,628.40","1,626.24","1,636.84","1,623.16","-","-0.05%"
"Nov 07, 2005","1,629.27","1,630.76","1,634.53","1,621.50","-","0.08%"
"Nov 04, 2005","1,628.03","1,622.56","1,631.79","1,616.84","-","0.52%"
"Nov 03, 2005","1,619.67","1,611.52","1,626.48","1,610.90","-","1.40%"
"Nov 02, 2005","1,597.29","1,570.83","1,600.75","1,570.75","-","1.32%"
"Nov 01, 2005","1,576.52","1,572.97","1,582.67","1,571.19","-","-0.17%"
"Oct 31, 2005","1,579.18","1,559.84","1,584.09","1,559.84","-","1.42%"
"Oct 28, 2005","1,557.11","1,548.83","1,557.57","1,538.78","-","0.89%"
"Oct 27, 2005","1,543.38","1,571.64","1,573.80","1,543.38","-","-2.02%"
"Oct 26, 2005","1,575.14","1,580.00","1,593.47","1,573.14","-","-0.67%"
"Oct 25, 2005","1,585.82","1,584.95","1,590.05","1,573.66","-","-0.30%"
"Oct 24, 2005","1,590.65","1,570.33","1,590.73","1,561.45","-","1.63%"
"Oct 21, 2005","1,565.12","1,571.17","1,572.71","1,558.18","-","0.61%"
"Oct 20, 2005","1,555.59","1,568.53","1,576.46","1,547.07","-","-0.89%"
"Oct 19, 2005","1,569.61","1,532.47","1,569.61","1,526.82","-","2.03%"
"Oct 18, 2005","1,538.43","1,548.29","1,549.41","1,538.39","-","-0.74%"
"Oct 17, 2005","1,549.88","1,544.58","1,549.95","1,536.01","-","0.36%"
"Oct 14, 2005","1,544.29","1,537.43","1,545.13","1,529.42","-","0.68%"
"Oct 13, 2005","1,533.80","1,519.36","1,538.15","1,515.42","-","0.83%"
"Oct 12, 2005","1,521.19","1,532.23","1,543.50","1,519.30","-","-1.18%"
"Oct 11, 2005","1,539.31","1,551.01","1,551.54","1,534.61","-","-0.50%"
"Oct 10, 2005","1,546.99","1,554.74","1,560.65","1,545.90","-","-0.57%"
"Oct 07, 2005","1,555.92","1,558.93","1,563.27","1,549.94","-","0.19%"
"Oct 06, 2005","1,552.94","1,573.15","1,576.36","1,540.34","-","-1.18%"
"Oct 05, 2005","1,571.52","1,595.39","1,595.83","1,571.46","-","-1.51%"
"Oct 04, 2005","1,595.54","1,606.15","1,617.77","1,594.56","-","-0.63%"
"Oct 03, 2005","1,605.59","1,603.47","1,612.53","1,603.39","-","0.25%"
"Sep 30, 2005","1,601.66","1,589.24","1,601.69","1,588.22","-","0.74%"
"Sep 29, 2005","1,589.93","1,567.44","1,591.15","1,560.87","-","1.35%"
"Sep 28, 2005","1,568.81","1,575.16","1,580.67","1,565.02","-","-0.00%"
"Sep 27, 2005","1,568.84","1,575.84","1,578.18","1,563.21","-","-0.26%"
"Sep 26, 2005","1,572.86","1,581.16","1,584.58","1,564.52","-","0.07%"
"Sep 23, 2005","1,571.75","1,563.97","1,577.05","1,559.57","-","0.28%"
"Sep 22, 2005","1,567.36","1,559.94","1,570.94","1,551.81","-","0.35%"
"Sep 21, 2005","1,561.84","1,577.10","1,577.67","1,561.47","-","-1.04%"
"Sep 20, 2005","1,578.20","1,589.33","1,604.02","1,575.58","-","-0.49%"
"Sep 19, 2005","1,586.05","1,595.08","1,597.97","1,579.51","-","-0.84%"
"Sep 16, 2005","1,599.44","1,592.10","1,600.44","1,587.18","-","0.69%"
"Sep 15, 2005","1,588.55","1,594.51","1,596.38","1,585.07","-","-0.07%"
"Sep 14, 2005","1,589.63","1,609.22","1,609.37","1,589.41","-","-1.10%"
"Sep 13, 2005","1,607.38","1,609.58","1,619.12","1,604.13","-","-0.30%"
"Sep 12, 2005","1,612.20","1,607.60","1,616.82","1,605.99","-","0.27%"
"Sep 09, 2005","1,607.83","1,599.98","1,610.12","1,595.31","-","0.64%"
"Sep 08, 2005","1,597.68","1,594.82","1,604.91","1,593.30","-","-0.14%"
"Sep 07, 2005","1,599.86","1,594.02","1,600.79","1,590.87","-","0.16%"
"Sep 06, 2005","1,597.27","1,580.21","1,597.71","1,578.99","-","1.54%"
"Sep 02, 2005","1,573.12","1,580.71","1,583.00","1,571.82","-","-0.26%"
"Sep 01, 2005","1,577.25","1,581.23","1,587.82","1,573.54","-","-0.28%"
"Aug 31, 2005","1,581.71","1,566.86","1,582.09","1,561.42","-","1.02%"
"Aug 30, 2005","1,565.73","1,565.17","1,566.47","1,554.49","-","-0.37%"
"Aug 29, 2005","1,571.52","1,551.36","1,575.45","1,551.31","-","0.81%"
"Aug 26, 2005","1,558.84","1,563.85","1,565.55","1,552.99","-","-0.45%"
"Aug 25, 2005","1,565.88","1,564.42","1,569.51","1,562.03","-","0.27%"
"Aug 24, 2005","1,561.71","1,568.02","1,588.90","1,561.15","-","-0.61%"
"Aug 23, 2005","1,571.30","1,575.47","1,578.52","1,566.72","-","-0.27%"
"Aug 22, 2005","1,575.59","1,577.15","1,588.92","1,565.81","-","0.12%"
"Aug 19, 2005","1,573.72","1,576.57","1,581.95","1,573.70","-","-0.13%"
"Aug 18, 2005","1,575.76","1,578.20","1,585.28","1,573.40","-","-0.41%"
"Aug 17, 2005","1,582.29","1,577.57","1,588.80","1,573.87","-","0.53%"
"Aug 16, 2005","1,574.01","1,595.86","1,596.54","1,572.44","-","-1.67%"
"Aug 15, 2005","1,600.71","1,587.59","1,606.96","1,585.66","-","0.56%"
"Aug 12, 2005","1,591.75","1,587.69","1,594.96","1,581.41","-","-0.56%"
"Aug 11, 2005","1,600.65","1,587.77","1,603.66","1,586.67","-","0.94%"
"Aug 10, 2005","1,585.71","1,604.80","1,610.21","1,582.31","-","-0.96%"
"Aug 09, 2005","1,601.14","1,596.15","1,606.51","1,595.71","-","0.70%"
"Aug 08, 2005","1,589.97","1,604.23","1,607.01","1,588.74","-","-0.73%"
"Aug 05, 2005","1,601.59","1,606.63","1,614.22","1,600.25","-","-0.44%"
"Aug 04, 2005","1,608.74","1,619.18","1,621.00","1,606.60","-","-1.13%"
"Aug 03, 2005","1,627.19","1,619.98","1,628.53","1,618.40","-","0.01%"
"Aug 02, 2005","1,627.01","1,611.86","1,628.57","1,611.86","-","1.05%"
"Aug 01, 2005","1,610.11","1,609.74","1,616.40","1,604.58","-","0.31%"
"Jul 29, 2005","1,605.14","1,616.42","1,619.95","1,605.14","-","-0.83%"
"Jul 28, 2005","1,618.64","1,613.29","1,619.78","1,609.62","-","0.42%"
"Jul 27, 2005","1,611.95","1,601.39","1,613.39","1,592.76","-","0.81%"
"Jul 26, 2005","1,598.93","1,596.81","1,603.89","1,591.58","-","0.34%"
"Jul 25, 2005","1,593.57","1,600.62","1,607.97","1,591.40","-","-0.45%"
"Jul 22, 2005","1,600.76","1,601.68","1,606.42","1,592.03","-","-0.07%"
"Jul 21, 2005","1,601.89","1,606.84","1,610.84","1,591.72","-","-0.05%"
"Jul 20, 2005","1,602.75","1,580.06","1,605.45","1,578.87","-","0.77%"
"Jul 19, 2005","1,590.49","1,580.25","1,590.76","1,577.00","-","1.30%"
"Jul 18, 2005","1,570.09","1,573.62","1,578.12","1,570.02","-","-0.49%"
"Jul 15, 2005","1,577.82","1,577.27","1,582.40","1,568.82","-","0.28%"
"Jul 14, 2005","1,573.44","1,570.31","1,577.48","1,563.93","-","1.02%"
"Jul 13, 2005","1,557.62","1,555.24","1,559.37","1,549.81","-","0.13%"
"Jul 12, 2005","1,555.59","1,546.52","1,560.15","1,543.14","-","0.51%"
"Jul 11, 2005","1,547.66","1,536.45","1,547.98","1,535.07","-","0.94%"
"Jul 08, 2005","1,533.27","1,505.53","1,534.29","1,502.20","-","1.96%"
"Jul 07, 2005","1,503.78","1,484.92","1,505.30","1,484.18","-","0.38%"
"Jul 06, 2005","1,498.05","1,503.48","1,512.91","1,497.11","-","-0.55%"
"Jul 05, 2005","1,506.35","1,485.96","1,509.19","1,485.96","-","1.06%"
"Jul 01, 2005","1,490.53","1,497.02","1,501.95","1,489.74","-","-0.20%"
"Jun 30, 2005","1,493.52","1,507.02","1,510.21","1,492.94","-","-0.70%"
"Jun 29, 2005","1,504.11","1,511.95","1,512.77","1,501.72","-","-0.30%"
"Jun 28, 2005","1,508.61","1,500.65","1,512.64","1,498.48","-","0.99%"
"Jun 27, 2005","1,493.75","1,497.29","1,503.79","1,490.02","-","-0.43%"
"Jun 24, 2005","1,500.18","1,516.84","1,518.01","1,500.18","-","-1.04%"
"Jun 23, 2005","1,515.95","1,537.64","1,549.00","1,515.79","-","-1.20%"
"Jun 22, 2005","1,534.36","1,542.13","1,545.54","1,527.93","-","-0.14%"
