"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2006","110.38","110.16","110.50","109.82","5.01M","-0.07%"
"Mar 01, 2006","110.46","110.24","110.74","110.09","4.73M","0.51%"
"Feb 28, 2006","109.90","110.60","110.76","109.78","6.67M","-0.86%"
"Feb 27, 2006","110.85","110.78","111.33","110.75","2.55M","0.08%"
"Feb 24, 2006","110.76","110.57","110.86","110.09","5.47M","0.02%"
"Feb 23, 2006","110.74","111.10","111.34","110.48","9.45M","-0.32%"
"Feb 22, 2006","111.10","110.79","111.52","110.73","5.03M","0.48%"
"Feb 21, 2006","110.57","111.20","111.32","110.40","9.06M","-0.41%"
"Feb 17, 2006","111.02","111.03","111.23","110.68","3.94M","-0.22%"
"Feb 16, 2006","111.27","110.82","111.29","110.58","5.66M","0.51%"
"Feb 15, 2006","110.70","110.30","110.83","109.99","9.48M","0.27%"
"Feb 14, 2006","110.40","109.29","110.55","109.12","13.19M","1.24%"
"Feb 13, 2006","109.05","109.06","109.49","108.56","10.96M","-0.07%"
"Feb 10, 2006","109.13","108.84","109.51","108.22","7.64M","0.27%"
"Feb 09, 2006","108.84","108.81","109.56","108.67","7.85M","0.23%"
"Feb 08, 2006","108.59","107.72","108.71","107.68","5.26M","1.03%"
"Feb 07, 2006","107.48","107.83","108.21","107.32","11.36M","-0.50%"
"Feb 06, 2006","108.02","107.95","108.13","107.67","3.45M","0.21%"
"Feb 03, 2006","107.79","108.10","108.62","107.74","5.11M","-0.47%"
"Feb 02, 2006","108.30","109.30","109.39","108.19","7.33M","-1.16%"
"Feb 01, 2006","109.57","108.50","109.62","108.50","7.07M","1.20%"
"Jan 31, 2006","108.27","108.79","109.19","108.24","5.22M","-0.59%"
"Jan 30, 2006","108.91","109.09","109.20","108.76","4.83M","-0.18%"
"Jan 27, 2006","109.11","108.22","109.27","107.97","7.92M","1.02%"
"Jan 26, 2006","108.01","107.63","108.20","107.45","8.23M","0.80%"
"Jan 25, 2006","107.15","107.28","107.52","106.60","9.53M","0.20%"
"Jan 24, 2006","106.94","106.95","107.41","106.78","7.15M","0.07%"
"Jan 23, 2006","106.86","106.64","107.28","106.56","7.60M","0.37%"
"Jan 20, 2006","106.47","108.46","108.50","106.45","16.61M","-2.08%"
"Jan 19, 2006","108.73","108.73","109.18","108.54","4.60M","0.12%"
"Jan 18, 2006","108.60","108.40","108.90","108.21","4.99M","-0.38%"
"Jan 17, 2006","109.01","109.15","109.27","108.74","3.92M","-0.48%"
"Jan 13, 2006","109.54","109.63","109.93","109.19","3.71M","-0.21%"
"Jan 12, 2006","109.77","110.22","110.23","109.51","6.33M","-0.60%"
"Jan 11, 2006","110.43","110.11","110.46","109.88","4.39M","0.32%"
"Jan 10, 2006","110.08","109.56","110.14","109.47","6.39M","0.09%"
"Jan 09, 2006","109.98","109.50","110.21","109.47","10.42M","0.42%"
"Jan 06, 2006","109.52","109.33","109.70","108.76","9.02M","0.59%"
"Jan 05, 2006","108.88","108.51","109.02","108.36","4.84M","0.13%"
"Jan 04, 2006","108.74","108.43","108.86","108.27","5.84M","0.38%"
"Jan 03, 2006","108.33","107.44","108.56","106.74","9.76M","1.29%"
